Characteristics,Time
Identity+Concurrent+Unordered,897ms
Identity+Concurrent,892ms
Identity+Unordered,226ms
Concurrent+Unordered,908ms
Identity,181ms
Concurrent,888ms
Unordered,199ms
Empty,203ms
